Station Code,Name of Monitoring Location,State Name,Temp_Min,Temp_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,DOB_Max,Nitrate?N + Nitrite_N Min,Nitrate?N + Nitrite_N Max,Fecal Coliform_Min,Fecal Coliform_Max,Total Coliform_Min,Total Coliform_Max,Total Dissolved Solids_Min,Total Dissolved Solids_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max
4559,WELL C/O THAJ MANZIL,LAKSHADWEEP,30.4,31.9,7.1,7.2,1330,2100,?,?,?,?,?,?,?,?,865,1365,?,?,?,?
4560,WELL C/O POOVALAP,LAKSHADWEEP,30,30.6,6.9,7,1011,1214,?,?,?,?,?,?,?,?,657,789,?,?,?,?
4561,WELL C/O PUTHIYA PAKKIMADA,LAKSHADWEEP,30.1,30.8,7,7.3,1029,1271,?,?,?,?,?,?,?,?,669,826,?,?,?,?
4562,WELL C/O BELIYACHADA,LAKSHADWEEP,32.6,32.8,7.3,7.4,1820,3600,?,?,?,?,?,?,?,?,1183,2340,?,?,?,?
4563,WELL C/O KANCHARAKAKADA,LAKSHADWEEP,30.6,31.1,6.8,6.9,1136,1860,?,?,?,?,?,?,?,?,738,1209,?,?,?,?
4564,WELL C/O KUNJACHA,LAKSHADWEEP,32.1,32.3,6.8,6.8,954,964,?,?,?,?,?,?,?,?,620,627,?,?,?,?
4565,WELL C/O LAGOONS BATH,LAKSHADWEEP,32.1,32.9,7,7,989,1001,?,?,?,?,?,?,?,?,643,651,?,?,?,?
4566,WELL NEAR S&T,LAKSHADWEEP,32.4,32.9,7.1,7.1,1002,1201,?,?,?,?,?,?,?,?,651,781,?,?,?,?
4567,WELL C/O UJRA PALLI,LAKSHADWEEP,30.1,31.1,7,7.1,125,559,?,?,?,?,?,?,?,?,363,363,?,?,?,?
4569,WELL C/O DARUL NOOR,LAKSHADWEEP,32.4,32.5,7,7.1,862,1203,?,?,?,?,?,?,?,?,560,781,?,?,?,?
4570,WELL C/O CHC SUB CENTRENORTH,LAKSHADWEEP,30.2,31.7,7.2,7.4,2310,2630,?,?,?,?,?,?,?,?,1502,1710,?,?,?,?
4571,WELL C/O MAMPURAM,LAKSHADWEEP,32.4,34.8,7.1,7.1,1320,1700,?,?,?,?,?,?,?,?,858,1105,?,?,?,?
4572,WELL C/O OBSERVATORY,LAKSHADWEEP,32.5,32.7,7.3,7.5,702,712,?,?,?,?,?,?,?,?,456,463,?,?,?,?
4573,WELL C/O BALIYOMME CHETTA,LAKSHADWEEP,32.7,32.8,6.9,7.1,2280,2750,?,?,?,?,?,?,?,?,1483,1788,?,?,?,?
4574,WELL C/O MOULA PALLI,LAKSHADWEEP,30.2,30.9,7.1,7.2,690,724,?,?,?,?,?,?,?,?,449,471,?,?,?,?
4575,WELL C/O BEEREDAM,LAKSHADWEEP,30.1,30.3,7.1,7.4,958,1001,?,?,?,?,?,?,?,?,623,651,?,?,?,?
4576,WELL C/O HUSSAIN MANZIL,LAKSHADWEEP,32.1,32.4,7.1,7.3,657,662,?,?,?,?,?,?,?,?,427,430,?,?,?,?
52,"WELL, SHRI RAO PRAJAPATI WELL, M. P. (T/W OF HANIF KHAN S/O JABBAR KHAN, AMRAWATIROAD, BURHANPUR )",MADHYA PRADESH,20,21.5,7.84,8.3,891,1320,BDL,BDL,2.1,2.59,BDL,BDL,3.6,3.7,564,730,0.64,0.76,?,?
1616,"TUBE WELL WATER ? INDUSTRIAL AREA, GOVINDPURA, BHOPAL,(M.P)",MADHYA PRADESH,26,27,7.49,7.69,867,1428,1.5,1.6,21.19,24.15,3.7,13,27,350,618,968,BDL,BDL,BDL,BDL
1617,"OPEN WELL/TUBE WELL INDUSTRIAL AREA MANDIDEEP,DISTT.RAISEN, M.P",MADHYA PRADESH,25,27,7.21,8.12,920,1200,1.5,2,11.42,13.42,26,38,220,430,535,790,BDL,BDL,BDL,BDL
1618,"HAND PUMP, MALANPUR HARIRAM KA PURA (EAST)",MADHYA PRADESH,18,22,7.2,7.72,435,936,?,?,0.48,1.3,?,?,?,?,282,585,?,?,?,?
1619,"HAND PUMP, JHIRONGI,MALANPUR BHIND (WEST)",MADHYA PRADESH,27.5,29,7.68,7.8,655,864,?,?,1.3,2.75,3,3,12,12,440,540,?,?,?,?
1897,"TUBE WELL AT JAINABAD, NEAR TAPTI RIVER BRIDGE, PUMPINGSTN. BURHANPUR, M.P.",MADHYA PRADESH,20,21,5,7.84,808,1320,BDL,BDL,2.06,2.83,BDL,BDL,3.7,3.7,490,730,0.52,0.76,?,?
2143,"HAND PUMP WATER ATKATHONDA, JABALPUR",MADHYA PRADESH,22.7,22.7,7.23,7.26,278,809,BDL,BDL,2.3,2.3,2,2,10,10,92,262,?,?,BDL,BDL
2144,"HAND PUMP WATER AT MADAIGRAM, JABALPUR",MADHYA PRADESH,?,?,8.33,8.33,524,524,BDL,BDL,?,?,?,?,?,?,498,498,?,?,BDL,BDL
2145,"WELL AT MEHATWAS, NAGDA",MADHYA PRADESH,27,27,7.29,7.38,1480,1932,1.4,1.4,4.7,5.87,?,?,?,?,1034,1636,?,?,BDL,BDL
2146,"WELL AT BHAGATPURI VILLAGE,NAGDA",MADHYA PRADESH,27,27,7.19,7.55,1242,1626,1.2,1.2,1.82,4.14,?,?,?,?,874,1380,?,?,BDL,BDL
2147,"WELL AT PRATAL NAGAR, DEWAS",MADHYA PRADESH,?,?,7.24,7.24,1716,1716,1.6,1.6,3.98,3.98,?,?,?,?,1188,1188,?,?,BDL,BDL
2148,"WELL AT DOSIGAON, RATLAM",MADHYA PRADESH,29,29,7.41,7.46,1940,2162,1.4,1.8,4.98,9.28,BDL,BDL,12,48,1514,1640,0.26,0.26,BDL,BDL
2149,"WELL AT CULVERT ON A.B. ROAD,MAKSI",MADHYA PRADESH,24,24,7.6,7.72,976,1748,1.4,1.4,4.62,4.88,?,?,?,?,684,1224,?,?,BDL,BDL
2150,"WELL AT TRENCHING GROUND, NEAR GARDEN, DEV GURADIYAROAD, INDORE",MADHYA PRADESH,20,21,7.6,8.05,1516,2779,BDL,BDL,2.21,3.47,BDL,BDL,3.6,3.7,952,1767,0.67,0.72,?,?
2151,"WELL AT TRENCHING GROUND IN THE PREMISES OF M/S RISHABHMASALA UDYOG, INDORE",MADHYA PRADESH,21,21,7.41,7.56,3112,3439,1.2,1.2,4.75,5.27,BDL,BDL,3.7,5.6,1930,2163,0.65,0.89,?,?
2152,"WELL AT TRENCHING GROUND IN THE PREMISES OF M/S LAKHANIFOOT WEAR, INDORE",MADHYA PRADESH,21,21.5,7.5,7.8,1744,4379,1.2,1.2,3.13,4.19,BDL,BDL,3.6,5.6,1140,2727,0.72,0.79,?,?
2153,"TUBWELL WATER AT IBRAHIMGANJ NEAR BUS STAND,BHOPAL (M.P.)",MADHYA PRADESH,25,25,7.05,7.26,504,700,BDL,BDL,5.72,37.78,17,17,26,46,340,418,0.97,0.97,BDL,BDL
2154,"WELL AT NEAR PRIMARYSCHOOL, PILUKHEDI, RAJGARH.",MADHYA PRADESH,28,28,7.1,7.1,810,810,?,?,0.47,0.47,?,?,?,?,520,520,?,?,?,?
3332,"TUBE WELL/ HAND PUMP ATINDUSTRIAL AREA, DEWAS",MADHYA PRADESH,22,30,7.12,7.78,1426,3060,1.2,2,4.34,6.53,?,?,?,?,998,2190,?,?,BDL,BDL
3333,"HAND PUMP WATER ATBANSKHEDI, BHOPAL(M.P.)",MADHYA PRADESH,23,24,7.05,7.08,464,551,BDL,BDL,0.87,3.13,BDL,BDL,21,21,252,358,0.67,0.67,BDL,BDL
3335,"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA RECHHAI,JABALPUR",MADHYA PRADESH,23,23,7,7.31,527,638,BDL,BDL,2.3,2.3,2,2,10,10,475,503,?,?,BDL,BDL
3337,TUBE WELL/ HAND PUMP AT INDL AREA SEONI NEARBARAPATTHAR,MADHYA PRADESH,22,22,7.25,7.4,240,324,1.8,1.8,0.32,0.39,BDL,BDL,17,17,140,292,BDL,BDL,?,?
3338,"HAND PUMP NEAR PANCHAYAT BHAWAN, VILLAGE TINAWALIRAIRU",MADHYA PRADESH,26,28,7.25,7.25,850,930,?,?,1.1,1.1,?,?,?,?,500,617,?,?,?,?
3339,"TUBE WELL/ HAND PUMP NEAR MANGLIA INDUSTRIAL AREA ,INDORE",MADHYA PRADESH,21,21,7.4,7.64,1188,1400,BDL,BDL,2.03,3.46,BDL,BDL,3.6,3.7,742,803,0.69,0.74,?,?
3340,"TUBE WELL AT NEAR TRENCHINGGROUND, INDORE",MADHYA PRADESH,20,21,7.59,7.7,1182,2605,BDL,BDL,2.8,3.12,BDL,BDL,3.6,5.5,1110,1663,0.66,0.77,?,?
3341,"TUBE WELL AT SECTOR?III,PITHAMPUR INDUSTRIAL AREA",MADHYA PRADESH,20.5,22,7.33,7.99,1147,8888,BDL,BDL,2.1,3.15,BDL,BDL,3.6,3.6,533,789,0.72,0.82,?,?
3342,"BOREWELL WATER AT VILLAGE TARPUR, SECTOR?II,PITHAMPUR,INDUSTRIAL AREA",MADHYA PRADESH,20,22,7.33,7.6,663,682,BDL,BDL,2.94,3.85,BDL,BDL,3.5,3.6,399,494,0.72,0.78,?,?
3344,"TUBEWELL AT INDL AREA, SHAHDOLU/G WATER SAMPLE FROM INDUSTRIAL AREA,NARSARHA,DISTT.SHAHDOL(M.P.)",MADHYA PRADESH,28.2,30,7.35,7.72,663,712,BDL,BDL,0.86,1.64,BDL,BDL,BDL,BDL,519,581,?,?,?,?
3345,"TUBEWELL AT INDL AREA,ANUPPUR",MADHYA PRADESH,27.8,29.8,6.87,7.12,798,6875,BDL,BDL,1.44,1.84,BDL,BDL,BDL,BDL,570,653,?,?,?,?
3822,"GROUND WATER NEAR BUSSTAND, DIST NARSINGPUR",MADHYA PRADESH,23,23,7.4,7.4,210,230,1.8,1.8,?,?,?,?,?,?,150,170,?,?,BDL,BDL
3823,"GROUND WATER NEAR BUSSTAND, DIST BALAGHAT",MADHYA PRADESH,22,22,7.38,7.5,200,612,BDL,BDL,?,?,?,?,?,?,100,580,?,?,BDL,BDL
3824,"GROUND WATER VILL BHEEMJORI, MALAJKH, DISTBALAGHAT",MADHYA PRADESH,22,22,7.5,7.5,?,?,1.4,1.4,?,?,BDL,BDL,9,9,130,130,?,?,?,?
3825,"GROUND WATER NEAR BUSSTAND, DIST MANDLA",MADHYA PRADESH,?,?,7.21,7.5,190,312,BDL,BDL,?,?,?,?,?,?,130,280,?,?,?,?
3826,"GROUND WATER NEAR BUSSTAND, DIST SEONI",MADHYA PRADESH,?,?,7.18,7.5,190,366,BDL,BDL,?,?,?,?,?,?,130,354,?,?,BDL,BDL
3827,"GROUND WATER VILL IMALIA,DIST JABALPUR",MADHYA PRADESH,23.2,23.2,7.36,7.85,428,428,BDL,BDL,?,?,?,?,?,?,292,478,BDL,BDL,BDL,BDL
3837,"GROUND WATER PRIMARY SCHOOL DHOBI GHAT, DISTSINGROULI",MADHYA PRADESH,?,?,7.37,7.37,1036,1036,?,?,3.96,3.96,?,?,?,?,598,598,?,?,?,?
3838,"GROUND WATER NCL, JINGURDHA, QSHF?176 METENCE OFF, DISTSINGROULI",MADHYA PRADESH,?,?,7.71,7.71,1213,1213,?,?,4.02,4.02,?,?,?,?,926,926,?,?,?,?
3839,"GROUND WATER NEAR SHIV MANDIR, AMLORI NCL, PROJECTSINGROULI",MADHYA PRADESH,?,?,6.88,6.88,1026,1026,?,?,3.94,3.94,?,?,?,?,779,779,?,?,?,?
3840,"GROUND WATER NEAR SUBJEE MANDI NCL JAYANT (BESIDE POLICESTATION), SINGROULI",MADHYA PRADESH,24,24,7.26,7.26,1035,1035,?,?,3.03,3.03,?,?,?,?,589,589,?,?,?,?
3841,"GROUND WATER SARVESWAR RAJA COLONY JAYANT,SINGROULI",MADHYA PRADESH,25,25,7.3,7.3,1056,1056,?,?,0.38,0.38,?,?,?,?,771,771,?,?,?,?
