Station Code,Name of Monitoring Location,State Name,Temp_Min,Temp_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,DOB_Max,Nitrate?N + Nitrite_N Min,Nitrate?N + Nitrite_N Max,Fecal Coliform_Min,Fecal Coliform_Max,Total Coliform_Min,Total Coliform_Max,Total Dissolved Solids_Min,Total Dissolved Solids_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max
2201,"DUG WELL AT RANJANGAON,VILLAGE?RANJANGAON, TALUKA?",MAHARASHTRA,28,40,7.4,7.7,1226,1615,2.8,6.2,11.5,18.8,BDL,BDL,2,23,1052,1204,0.72,0.97,?,?
2203,"HAND PUMP IN THE PREMISES OF ZILLA PARISHAD PRIMARY SCHOOL, VILLAGE? BHUGAON,TALUKA?WARDHA,DISTRICT? WARDHA.",MAHARASHTRA,16,19,7.4,7.8,1204,1464,2.8,3,?,?,21,22,140,170,902,1160,BDL,BDL,BDL,BDL
2204,"DUG WELL AT GUNJALWADI,SANGAMNER NEAR PRIMARY HEALTH CARE CENTER, VILLAGE? GUNJALWADI,TALUKA? SANGAMNER,DISTRICT?AHMADNAGAR.",MAHARASHTRA,20,25,7.4,7.7,1068,4850,3.4,3.4,0.67,0.67,4,11,47,70,388,852,BDL,BDL,?,?
2816,"DUG WELL OF MR.SAMPAT WALUNJ, NEAR M/S MAHAJEET CLAYTON, VILLAGE? SHINDE VILLAGE, TALUKA? NASHIK,DISTRICT? NASHIK.",MAHARASHTRA,26,27,7.2,7.4,1248,1582,3.2,3.4,5.21,5.21,4,4,46,48,1004,1250,BDL,BDL,BDL,BDL
2817,"BORE WELL AT CHITALI NEAR WAGH VASTHI, VILLAGE? CHITALI, TALUKA? RAHATA, DISTRICT?AHMEDNAGAR.",MAHARASHTRA,20,26,7.7,7.8,381,1018,3.2,3.4,?,?,4,6,43,58,306,888,BDL,BDL,?,?
2819,"DUG WELL OWNED BY SHRI DESHMUKH, VILLAGE? MALEGAON, TALUKA?BARAMATI, DISTRICT? PUNE.",MAHARASHTRA,28,29,7.4,7.6,3421,3700,5.6,5.8,7.24,9.14,8,8,130,150,2908,3034,0.21,0.22,?,?
2820,"DUG WELL OWNED BY SHRI SHIVAJI BABAN DAREKAR, VILLAGE? SANASWADI, TALUKA?SHIRUR, DISTRICT? PUNE.",MAHARASHTRA,26,27,7.9,8.2,575,1010,4.8,5,0.87,7.3,9,10,120,150,472,884,0.51,0.51,?,?
2821,"BORE WELL AT BALE RAILWAY STATION PREMISES OWNED BY SHRI. DIGAMBAR JOSHI, VILLAGE? DAHEGAON, TALUKA? NORTHSOLAPUR, DISTRICT? SOLAPUR.",MAHARASHTRA,29,34,7.9,8.2,1708,4730,3.2,6.4,2.2,9.36,8,9,130,170,1472,3880,0.62,0.62,BDL,BDL
2822,"BORE WELL NEAR CHINCHOLI MIDC, VILLAGE? CHINCHOLI, TALUKA? MOHOL, DISTRICT?SOLAPUR.",MAHARASHTRA,29,34,7.9,8,1715,4670,4.2,5.4,2.16,9.52,8,8,95,140,1468,3828,0.56,0.56,BDL,BDL
2823,"BORE WELL AT SHETE VASTI, NEAR OLD TULJAPUR  ROAD, VILLAGE? SHETE VASTHI, TULJAPUR NAKA, TALUKA?SOLAPUR, DISTRICT? SOLAPUR.",MAHARASHTRA,29,34,7.4,8.3,1726,4811,2.6,4.2,2.22,11.88,8,9,120,195,1498,3944,BDL,BDL,BDL,BDL
2825,"BORE WELL AT WAHEGAON, NEAR ZILLA PARISHAD SCHOOL,VILLAGE? WAHEGAON,TALUKA?PAITHAN,DISTRICT ? AURANGABAD",MAHARASHTRA,28,40,7.1,8.5,1735,2737,3.6,4.2,12,14.5,BDL,BDL,BDL,BDL,1250,2346,0.55,1.01,?,?
2826,"DUG WELL NEAR RAILWAY STATION & COTTON MARKET, VILLAGE? WARDHA, TALUKA?WARDHA, DISTRICT? WARDHA.",MAHARASHTRA,16,19,7.3,7.8,1122,1579,3,3,2.48,2.48,17,26,120,130,875,1380,BDL,BDL,BDL,BDL
2828,"DUG WELL NEAR ZILLA PARISHAD PRIMARY SCHOOL, AT VILLAGE? VISAPUR, TALUKA? BALLARPUR,DISTRICT? CHANDRAPUR.",MAHARASHTRA,19,19,8.2,8.3,962,1630,3.4,3.6,?,?,11,25,130,150,832,1164,BDL,BDL,BDL,BDL
2829,"BORE WELL AT MIDC, SHIROLI NEAR M/S PRATIBHA ENTERPRISES, VILLAGE? SHIROLI,TALUKA? HATKANANGALE, DISTRICT?KOLHAPUR.",MAHARASHTRA,26,28,7.4,8.1,185,562,2,2,0.53,3.83,4,4,15,15,154,465,0.24,0.24,BDL,BDL
2830,"BORE WELL AT MIDC GOKUL ? SHIRGAON, VILLAGE? GOKUL? SHIRGAON, TALUKA? KARVIR,DISTRICT ? KOLHAPUR.",MAHARASHTRA,26,28,7.5,8.2,578,629,1.8,2,1.67,1.88,4,4,15,15,467,523,0.23,0.24,BDL,BDL
2831,"DUG WELL AT SAKHARALI, NEAR MIDC ISLAMPUR NEAR KRISHNA MILK INDUSTRY, VILLAGE? SAKHARALI, TALUKA? WALWA,DISTRICT? SANGLI.",MAHARASHTRA,24,24,8,8.2,939,1119,2.4,2.8,2.9,6.4,3.7,6,12,26,768,929,0.23,0.23,BDL,BDL
2832,"DUG WELL NO. 1 AT BRAHMANWADI? ANJANWEL, OWNED BY SHRI. VAIDYA, VILLAGE? ANJANWEL, TALUKA?GUHAGAR, DISTRICT? RATNAGIRI.",MAHARASHTRA,28,32,7.4,7.6,67,142,1.8,2,0.55,0.55,5.5,6,11,12,56,123,BDL,BDL,BDL,BDL
2833,"DUG WELL NO. 1 OWNED BY GROUP GRAM PANCHAYAT AT ARKETWADI, NEAR MASJID, VILLAGE? ARKETWADI, TALUKA?KHED, DISTRICT? RATNAGIRI.",MAHARASHTRA,28,32,7.6,7.7,134,159,1.8,2.2,?,?,4,5.5,13,17,112,136,BDL,BDL,BDL,BDL
2834,"DUG WELL NO. 2 AT ARKETWADI, VILLAGE? ARKETWADI, TALUKA ?KHED, DISTRICT? RATNAGIRI.",MAHARASHTRA,28,33,7.4,7.4,133,5139,2.6,3,0.46,0.46,6.1,8.2,17,27,110,4238,0.22,0.22,BDL,BDL
2835,"DUG WELL NO. 2, OWNED BY GROUP GRAM PANCHAYAT,BRAHMANWADI? ANJANWEL,",MAHARASHTRA,28,32,6.9,7.4,69,298,1.8,2,0.72,0.72,3.6,3.6,12,15,58,238,BDL,BDL,BDL,BDL
1920,"TUBE WELL NEAR PADMAENGLISH SCHOOL, KAKCHING",MANIPUR,23,23,7.5,7.5,875,875,?,?,?,?,?,?,?,?,92,92,?,?,?,?
1921,TUBE WELL AT HEIROK BAZAR,MANIPUR,24,24,7,7,820,820,?,?,?,?,?,?,?,?,176,176,?,?,?,?
1922,"TUBE WELL  AT KHUMUJAMBA NEAR IBUDHOU MAIGEINGAKPATEMPLE , LAMKA",MANIPUR,25,25,7.5,7.5,675,675,?,?,?,?,?,?,?,?,120,120,?,?,?,?
1923,"TUBE WELL  NEAR TUREL WANGMA COMMUNITY HALL,MOREH",MANIPUR,25,25,7.4,7.4,620,620,?,?,?,?,?,?,?,?,125,125,?,?,?,?
1924,"TUBE WELL  AT MOLNOI VILLAGEC. GANMNUM VILLAGE, PALLEL",MANIPUR,24,26,7.2,7.3,570,730,?,?,?,?,?,?,?,?,92,138,?,?,?,?
2881,HAND PUMP AT TAKHEL,MANIPUR,23,24,6.8,7.4,610,620,?,?,?,?,?,?,?,?,82,175,?,?,?,?
2885,HAND PUMP AT SAITON,MANIPUR,24,24,7.3,7.3,580,580,?,?,?,?,?,?,?,?,120,120,?,?,?,?
1634,"POLICE BAZAR, SHILLONG(POLICE BAZAAR SPRING)",MEGHALAYA,16,18,5.9,6.1,175,260,1.2,1.2,6.22,6.73,4,4,30,110,121,179,BDL,BDL,?,?
1635,"MAWLAI, SHILLONG(MAWPDANG SPRING)",MEGHALAYA,16,17,5.7,5.7,255,264,1.3,1.4,12.52,14.72,BDL,BDL,BDL,BDL,176,182,BDL,BDL,?,?
1636,EPIP BYRNIHAT (NARBONG?WELL),MEGHALAYA,17,19.5,6,6.6,132,138,1.4,1.4,1.15,1.62,BDL,BDL,12,21,91,95,BDL,BDL,?,?
1637,"SOHRA, CHERRAPUNJEE (WAH UDKHAR ? SPRING)",MEGHALAYA,18,21.4,5.6,6.2,108,114,1.1,1.3,3.62,4.96,BDL,BDL,BDL,BDL,74,78,BDL,BDL,?,?
1638,SHANGPUNG (UMSAHEP SPRING),MEGHALAYA,16,20,5.5,5.6,142,150,1.2,1.2,6.92,7.52,BDL,BDL,BDL,BDL,78,98,BDL,BDL,?,?
3385,MAWTHADRISHAN WELL ATMARKASA,MEGHALAYA,19,20,6.6,6.7,43,49,1.1,1.5,0.39,0.44,BDL,BDL,12,12,29,34,BDL,BDL,?,?
3386,JAKREM HOT SPRING AT JAKREM,MEGHALAYA,16,42,8.9,9.1,300,312,1.1,1.2,0.69,0.75,BDL,BDL,BDL,BDL,207,215,20.5,20.5,?,?
4323,BOREWELL AT GOOD SHEPHERDPARISH IN LADRYMBAI,MEGHALAYA,15,17.2,6.7,7.8,85,200,1.2,1.2,0.52,0.66,BDL,BDL,BDL,BDL,59,138,BDL,BDL,?,?
4324,BOREWELL AT KHLIEHWAHSHASEM ? A IN KHLIEHRIAT,MEGHALAYA,17,20,5.5,5.7,153,180,1.3,1.4,0.42,0.48,BDL,BDL,BDL,BDL,105,124,BDL,BDL,?,?
4325,BOREWELL AT KHLIEHWAHSHASEM ? B IN KHLIEHRIAT,MEGHALAYA,18,18,5.1,6.1,95,109,1.3,1.4,0.58,0.64,BDL,BDL,BDL,BDL,67,85,BDL,BDL,?,?
4904,"DEEP TUBE WELL AT DONGKAMON NONGMENSONG,SHILLONG",MEGHALAYA,14,19,6.7,7,114,216,1.1,1.2,4.72,5.02,BDL,BDL,21,27,79,83,BDL,BDL,?,?
4905,"DUG WELL AT FOREST COLONY,POLO, SHILLONG",MEGHALAYA,16,18,6.6,7,197,216,1.1,1.1,3.52,4.72,BDL,BDL,41,60,120,149,BDL,BDL,?,?
4906,"DEEP TUBE WELL AT LABAN LASTSTOP, SHILLONG",MEGHALAYA,15,18,5,5.5,55,78,BDL,BDL,0.32,0.33,BDL,BDL,12,13,38,54,BDL,BDL,?,?
2054,"RAMHLUN 'N' SPRING WATER,AIZAWL",MIZORAM,20,24,6.1,6.4,411,571,1.8,1.8,?,?,?,?,?,?,?,?,?,?,?,?
2055,"MISSION VENGTHLANG SPRINGWATER, AIZAWL",MIZORAM,18,25,6.8,7.2,293,599,1.4,1.4,?,?,?,?,?,?,?,?,?,?,?,?
3725,"LUNGLI SPRING WATER,REPUBLIC VENG, AIZAWL",MIZORAM,18,25,7.3,7.5,320,377,1.1,1.3,?,?,?,?,?,?,?,?,?,?,?,?
3726,"RAMHLUN 'S' SPRING WATER, NEAR COMMUNITY HALL,AIZAWL",MIZORAM,21,25,5.9,7.6,427,499,1.2,1.2,?,?,?,?,?,?,?,?,?,?,?,?
3727,"TUITHIANG VENG SPRINGWATER, AIZAWL",MIZORAM,18,25,6.8,7.1,349,365,BDL,BDL,?,?,?,?,?,?,?,?,?,?,?,?
3728,"KHURPUI SPRING WATER, SOUTHHLIMEN, AIZAWL",MIZORAM,20,25,5.7,7.2,420,452,1.5,1.5,?,?,?,?,?,?,?,?,?,?,?,?
3730,"SELESIH HAND PUMP, AIZAWL",MIZORAM,20,26,6.7,7.1,94,417,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3731,"TUIKUAL HAND PUMP, AIZAWL",MIZORAM,21,24,6.6,6.9,212,250,?,?,0.16,0.16,?,?,?,?,?,?,?,?,?,?
3732,"CHALTLANG HAND PUMP, NEAR REMI TYRE WORKS,AIZAWL",MIZORAM,19,26,6.4,6.8,44,472,?,?,0.27,0.27,?,?,?,?,?,?,?,?,?,?
3733,"SOUTH HLIMEN HAND PUMP,AIZAWL",MIZORAM,18,25,6.5,6.8,229,293,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3737,"VAITUI SPRING WATER, THEIRIAT, LUNGEI",MIZORAM,17,25,6.6,6.9,70,291,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3738,"SAP TUIKHUR SPRING WATER,SERKAWN, LUNGLEI",MIZORAM,19,25,6.3,6.9,70,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3739,"ZOBAWK HAND PUMP, LUNGLEIDIST.",MIZORAM,23,23,7.02,7.02,96,96,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3741,"KHURPUI SPRING WATER,LAWNGTLAI",MIZORAM,19,19,6.7,6.7,155,155,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3742,"CHANMARI HAND PUMP,LAWNGTLAI",MIZORAM,21,21,6.5,6.5,154,154,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3745,"CHHOCHHOPA SPRING WATER,NEW COLONY, SAIHA",MIZORAM,16,19,6.5,7.1,157,192,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3753,"HMAR VENG SPRING WATER,KOLASIB",MIZORAM,16,20,7.3,7.5,154,217,?,?,0.03,0.03,?,?,?,?,?,?,?,?,?,?
3758,"BETHEL VENG HAND PUMP,CHAMPHAI",MIZORAM,19,20,6.2,7.5,203,359,BDL,BDL,?,?,?,?,?,?,?,?,?,?,?,?
4124,"ELECTRIC VENG SPRING WATER,LUNGLEI",MIZORAM,17,26,7.1,7.1,156,269,269,269,?,?,?,?,?,?,?,?,?,?,?,?
4126,"PAWHHAWN SPRING WATER, NR GM HSS, VENGSANG,CHAMPHAI",MIZORAM,17,19,5.1,6,187,207,BDL,BDL,?,?,?,?,?,?,?,?,?,?,?,?
4127,"KHURPUI SPRING WATER, NEWCOLONY, SAIHA",MIZORAM,15,19,5.6,7.8,56,114,?,?,?,?,?,?,?,?,?,?,?,?,?,?
4128,"F LALLAWMAWMA WELL, NEW SAIHA,SAIHA DIST.",MIZORAM,15,20,6.3,7.2,131,249,1.4,1.4,?,?,?,?,?,?,?,?,?,?,?,?
4129,"TUIVAMIT SPRING WATER, AOCVENG, LAWNGTLAI",MIZORAM,21,21,7.6,7.6,154,154,?,?,?,?,?,?,?,?,?,?,?,?,?,?
4133,"NGHARPET VENG SPRINGWATER, LUNGSIR, MAMIT",MIZORAM,25,28,6.8,7.4,170,291,1.3,1.3,?,?,?,?,?,?,?,?,?,?,?,?
2896,OPENWELL AT KOHIMA VILLAGE?T? KHEL (HOUSE NO.21),NAGALAND,17.8,26,7.7,7.9,350,930,BDL,BDL,0.5,0.7,?,?,?,?,186,465,BDL,BDL,BDL,BDL
2897,BOREWELL AT KAMDI BAZAAR,NAGALAND,22,27.8,6.4,7.6,228,288,BDL,BDL,0.9,1,?,?,?,?,110,114,BDL,BDL,BDL,BDL
2898,OPENWELL AT DOYAPUR NEARDIMASA BAPTIST CHURCH,NAGALAND,23.7,28.6,5.5,6.1,179,182,BDL,BDL,0.8,0.9,?,?,?,?,73.4,89.4,BDL,BDL,BDL,BDL
2899,BOREWELL AT DHANSIRIPARNEAR SIBRAI (SHIV) TEMPLE,NAGALAND,26.1,28.6,6.8,7.6,210,244,BDL,BDL,0.8,0.9,?,?,?,?,110,122,0.3,0.3,BDL,BDL
2900,OPENWELL AT TOULAZOUMAVILLAGE (HOUSE NO.379),NAGALAND,23.3,28.5,6.1,6.9,216,234,BDL,BDL,0.7,0.8,?,?,?,?,102,117,BDL,BDL,BDL,BDL
2901,OPENWELL AT LUNGWIRAM VILLAGE NEAR LUNGWIRAMBAPTIST CHURCH,NAGALAND,25.5,28.5,5.7,6.2,180,196,BDL,BDL,0.6,0.7,?,?,?,?,89.1,90.6,2.8,2.8,BDL,BDL
2902,"BOREWELL AT THAHEKHU VILLAGE, BLOCK 3, NEARRAILWAY CROSSING",NAGALAND,22.3,28.9,7.5,7.9,214,354,BDL,BDL,0.6,0.7,?,?,?,?,114,117,BDL,BDL,BDL,BDL
2903,"BOREWELL  AT SIGNAL ANGAMIVILLAGE, HOUSE NO 93",NAGALAND,27.2,28.6,7.2,7.4,211,1053,BDL,BDL,0.7,0.8,?,?,?,?,112,526,0.21,0.24,BDL,BDL
2904,"OPENWELL NEAR NAGACEMETERY (OLD), (HOUSE NO.10)",NAGALAND,25.6,29.5,5.8,6.8,186,685,BDL,BDL,1,1.1,?,?,?,?,94,342,BDL,BDL,BDL,BDL
2905,"BOREWELL AT NPCB, SIGNALPOINT",NAGALAND,27.2,28.1,6.2,6.5,192,260,BDL,BDL,0.7,0.7,?,?,?,?,115,125,BDL,BDL,BDL,BDL
1644,"JAGATPUR INDUSTRIAL AREA,CUTTACK",ODISHA,23,24,6.8,6.8,431,515,1.1,1.1,2.75,4.42,23,23,43,43,?,?,0.33,0.47,?,?
1645,"MADHUPATNA? KALYAN NAGARAREA, CUTTACK",ODISHA,24,24,6.6,6.7,318,372,1.2,1.2,0.72,1.05,23,23,31,31,?,?,0.29,0.44,?,?
1646,"BIDANASHI ? TULASIPUR AREA,CUTTACK",ODISHA,22,23,6.9,6.9,158,168,BDL,BDL,0.34,0.62,24,24,33,33,?,?,0.26,0.39,?,?
1647,"BADAMBARI AREA, CUTTACK",ODISHA,21,22,6.7,7.1,290,345,BDL,BDL,1.81,2.48,BDL,BDL,BDL,BDL,?,?,0.34,0.41,?,?
1648,"RANIHAT? MANGALABAG AREA,CUTTACK",ODISHA,22,23,7.1,7.1,219,283,1.1,1.1,0.42,1.62,31,31,43,43,?,?,0.36,0.42,?,?
1649,"KHANDAGIRI AREA,BHUBANESWAR",ODISHA,20,28,5.7,6.9,172,268,BDL,BDL,0.61,1.12,BDL,BDL,BDL,BDL,?,?,0.33,0.8,?,?
1650,"CAPITAL HOSPITAL AREA,BHUBANESWAR",ODISHA,20,28,6.6,7.1,247,256,BDL,BDL,0.94,3.42,BDL,BDL,BDL,BDL,?,?,0.21,0.63,?,?
1651,"OLD TOWN? SAMANTARAPURAREA, BHUBANESWAR",ODISHA,20,28,6.9,7.1,426,485,BDL,BDL,1.04,2.11,350,350,920,920,?,?,0.44,0.82,?,?
1652,"KALPANA ? LAXMISAGAR AREA,BHUBANESWAR",ODISHA,20,28,5.3,6.8,237,287,BDL,BDL,1.32,4.07,BDL,BDL,BDL,BDL,?,?,0.32,0.6,?,?
1653,"MANCHESWAR INDUSTRIAL AREA, BHUBANESWAR /CHANDRASHEKHARPUR",ODISHA,20,26,5.5,7.4,140,286,1.1,1.1,1.22,2.1,79,79,350,350,?,?,0.27,0.47,?,?
1654,"SECRETARIAT? GOVERNOR HOUSE? OLD BUS STAND AREA,BHUBANESWAR",ODISHA,25,27,6.5,6.7,352,372,BDL,BDL,1.52,4.49,22,140,49,1600,?,?,0.22,0.63,?,?
1655,"NEAR SEA BEACH, PURI",ODISHA,25,30,7.3,7.9,285,4498,1.6,1.6,1.92,10.23,BDL,BDL,BDL,BDL,?,?,0.24,0.26,?,?
1656,"NEAR JAGANNATH TEMPLE, PURI",ODISHA,21,30,7.5,7.7,838,1019,1.7,2.4,0.34,0.82,33,33,220,220,?,?,0.33,0.42,?,?
1657,"HOSPITAL ? BUS STAND?MAUSHIMA TEMPLE AREA, PURI",ODISHA,21,30,7.5,8.3,415,636,1.2,1.2,0.39,5.74,79,79,240,240,?,?,0.27,0.33,?,?
1658,"BALIAPANDA, PURI",ODISHA,30,30,8.4,8.4,291,291,1.1,1.1,0.52,0.52,BDL,BDL,BDL,BDL,?,?,0.96,0.96,?,?
3964,"NEAR MKCG MEDICAL COLLEGE,BERHAMPUR",ODISHA,24,32,7.5,8.2,698,762,1.4,1.4,3.78,4.52,BDL,BDL,BDL,BDL,?,?,0.48,0.98,?,?
3965,"NEAR BUS STAND, BERHAMPUR",ODISHA,23,32,7.6,7.7,441,602,1.8,1.8,0.73,4.52,BDL,BDL,BDL,BDL,?,?,0.76,1.03,?,?
3966,"NEAR BADABAZAR, BERHAMPUR",ODISHA,24,32,7.5,7.5,728,1485,BDL,BDL,0.62,1.94,BDL,BDL,BDL,BDL,?,?,0.35,0.72,?,?
3967,"NEAR RAILWAY STATION STAND,BERHAMPUR",ODISHA,24,32,7.4,7.6,604,1204,BDL,BDL,1.89,4.62,BDL,BDL,BDL,BDL,?,?,0.36,0.57,?,?
3968,"NEAR VSS MEDICAL COLLEGE,BURLA, SAMBALPUR",ODISHA,28,28,7.1,7.2,493,708,BDL,BDL,0.32,1.42,BDL,BDL,BDL,BDL,?,?,0.48,0.74,?,?
3969,"NEAR RAILWAY STATION,SAMBALPUR",ODISHA,26,28,7.1,7.3,618,947,BDL,BDL,2.2,9.14,BDL,BDL,BDL,BDL,?,?,0.48,0.72,?,?
3970,"NEAR PANTHANIVAS,SAMBALPUR",ODISHA,27,29,7.1,7.1,254,539,BDL,BDL,0.62,1.42,BDL,BDL,BDL,BDL,?,?,0.32,0.44,?,?
3971,ANGUL TOWNSHIP,ODISHA,24,27,6.9,7.1,914,963,1.1,1.1,4.96,18.02,BDL,BDL,BDL,BDL,?,?,0.42,0.43,?,?
3972,"NALCO TOWNSHIP, TALCHER",ODISHA,23,27,7.3,7.4,527,674,1.1,1.1,1.02,1.22,49,49,49,49,?,?,0.39,0.98,?,?
3973,"MAHANADI COAL FIELD AREA,TALCHER",ODISHA,23,27,6.8,7.3,180,500,1.8,1.8,1.32,5,920,920,1600,1600,?,?,0.28,0.4,?,?
3974,"KANIHA, TALCHER",ODISHA,23,26,7.3,7.4,284,494,1.1,1.1,0.42,1.09,BDL,BDL,BDL,BDL,?,?,0.36,0.45,?,?
3975,TALCHER TOWN,ODISHA,23,23,6.8,6.8,314,314,BDL,BDL,0.99,0.99,BDL,BDL,BDL,BDL,?,?,0.36,0.36,?,?
3976,"MERAMUNDALI AREA, TALCHER",ODISHA,23,27,7.2,7.4,815,1187,1.1,1.1,1.1,1.32,33,130,130,130,?,?,0.42,0.8,?,?
3977,TALCHER THERMAL AREA,ODISHA,24,27,6.9,7.2,687,846,1.1,1.1,0.32,0.8,BDL,BDL,BDL,BDL,?,?,0.3,0.64,?,?
3978,"BANARPAL, TALCHER",ODISHA,23,27,6.8,7.1,420,898,1.1,1.1,0.59,6.02,22,22,22,22,?,?,0.27,0.6,?,?
3979,"KULAD, TALCHER",ODISHA,23,27,7.2,8,943,2041,1.1,1.1,0.42,0.65,79,79,350,350,?,?,0.3,1.12,?,?
3981,"BURKHAMUNDA, JHARSUGUDA",ODISHA,28,28,7.2,7.3,170,198,BDL,BDL,3.34,5.22,BDL,BDL,BDL,BDL,?,?,0.26,0.47,?,?
3982,"BADAMANI INDUSTRIAL ESTATE,JHARSUGUDA",ODISHA,28,28,6.8,6.8,136,140,1.2,1.2,2.15,4.72,BDL,BDL,BDL,BDL,?,?,0.31,0.33,?,?
3983,"BUDHIPADAR, JHARSUGUDA",ODISHA,27,28,6.5,6.7,187,192,1.5,1.5,3.5,6.82,BDL,BDL,BDL,BDL,?,?,0.32,0.32,?,?
3984,"BRAJARAJ NAGAR MINING BELT,JHARSUGUDA",ODISHA,27,28,6,6.6,139,215,1.4,1.4,0.72,4.54,BDL,BDL,BDL,BDL,?,?,0.31,0.51,?,?
3985,"RAMPUR AREA (WATER TANK),JHARSUGUDA",ODISHA,27,28,6.6,6.6,243,246,BDL,BDL,0.32,0.85,BDL,BDL,BDL,BDL,?,?,0.3,0.52,?,?
3986,"IB THERMAL POWER STATION,JHARSUGUDA",ODISHA,28,28,6.1,6.8,100,214,BDL,BDL,0.32,0.51,BDL,BDL,BDL,BDL,?,?,0.26,0.33,?,?
3987,"BELPAHAR AREA, JHARSUGUDA",ODISHA,28,28,6.6,7.1,145,149,BDL,BDL,0.32,0.65,350,350,540,540,?,?,0.25,0.85,?,?
3988,"BADAPADIA MARKET COMPLEX,PARADEEP",ODISHA,26,29,8.1,8.3,3545,5161,1.1,1.4,4.34,4.39,BDL,BDL,BDL,BDL,?,?,0.29,1.33,?,?
3989,"MUSADIHA, PARADEEP",ODISHA,27,30,7.8,7.9,582,5088,1.5,1.5,4.03,5,BDL,BDL,BDL,BDL,?,?,0.31,0.62,?,?
3990,"TISCO, SUKINDA",ODISHA,21,22,6.9,8.4,313,373,1.1,1.2,2.33,3.03,1600,1600,1600,1600,?,?,0.49,0.49,?,?
3991,"SARUABIL, SUKINDA",ODISHA,21,22,6.3,8.3,180,239,1.1,1.1,4.18,6.62,33,33,33,33,?,?,0.47,0.47,?,?
3992,"KALIAPANI, SUKINDA",ODISHA,21,22,6.2,8.4,192,400,1.4,1.4,0.36,2.05,BDL,BDL,BDL,BDL,?,?,0.22,0.48,?,?
3993,"KAMARDA, SUKINDA",ODISHA,21,22,6.5,8.2,225,233,1.1,1.1,0.59,1.87,49,49,79,79,?,?,0.21,0.37,?,?
3994,"CHAKULIA, BALASORE",ODISHA,22,24,7.2,7.3,286,287,BDL,BDL,0.32,0.72,240,240,350,350,?,?,0.35,0.56,?,?
3995,"KUANRPUR, BALASORE",ODISHA,24,24,7.8,7.8,329,329,BDL,BDL,0.62,0.62,45,45,350,350,?,?,5.14,5.14,?,?
3996,"NAIGOPALPUR, BALASORE",ODISHA,22,24,6.7,7.3,157,317,BDL,BDL,0.33,0.42,130,130,350,350,?,?,0.32,0.39,?,?
4862,"MARKET COMPLEX, COURT CHHAK, KHADIA ROAD,KENDRAPARA",ODISHA,28,30,7.3,7.5,485,985,1.1,1.1,0.32,0.4,BDL,BDL,BDL,BDL,?,?,0.32,0.43,?,?
4863,"INSIDE GAJMARA UP SCHOOL,GAJAMARA, DHENKANAL",ODISHA,25,26,6.2,7.2,68,144,1.1,1.1,0.34,0.59,130,130,350,350,?,?,0.25,0.44,?,?
4864,DHENKANAL DAILY MARKETAREA,ODISHA,25,26,6.5,7.1,184,339,1.1,1.2,0.42,1.21,79,79,240,240,?,?,0.34,0.47,?,?
4865,"DISTRICT HEAD QUARTERHOSPITAL PREMISES, BHADRAK",ODISHA,22,24,6.9,7.2,305,361,1.2,1.2,0.37,0.42,BDL,BDL,BDL,BDL,?,?,0.3,0.57,?,?
4866,"SALANDI HOSPITAL PREMISES NEAR UNAUTHORISED GARBAGE DISPOSAL SITE BY THE SIDE OFNH, BHADRAK",ODISHA,22,24,7.3,7.4,156,377,BDL,BDL,0.36,1.67,BDL,BDL,BDL,BDL,?,?,0.33,0.77,?,?
4867,"DHANGIDIMUTA VILLAGE (KUSUMI GP OFFICE NEAR BADAMPAHAR MINING AREA,MAYURBHANJ",ODISHA,22,24,6.7,7.2,155,184,1.1,1.1,0.62,0.85,BDL,BDL,BDL,BDL,?,?,0.33,0.46,?,?
4868,DHANGIDIMUTA VILLAGE (BASTISAHI) NEAR CATCH POND OF,ODISHA,22,24,6.9,7.2,190,276,1.6,1.6,1.84,3.54,23,23,79,79,?,?,0.29,0.44,?,?
4869,"JODA WEST MANGANESE MINE OF M/S TATA STEEL LTD. (BICHHAKUNDI COLONY), JODA,KEONJHAR",ODISHA,22,26,6.3,7.2,101,118,1.3,1.3,0.67,0.92,BDL,BDL,BDL,BDL,?,?,0.67,0.67,?,?
4870,"BALDA BLOCK IRON ORE MINES OF M/S SIRAJUDDIN & CO. (NEAR TIME OFFICE INSIDE THE MINELEASEHOLD AREA), KEONJHAR",ODISHA,22,25,5.6,6.8,76,86,1.5,1.5,0.42,0.8,BDL,BDL,BDL,BDL,?,?,0.64,0.64,?,?
4871,"ROIDA?II IRON ORE MINES OF M/S K N RAM & CO., TANTO,BHADRASAHI, BARBIL, KEONJHAR",ODISHA,22,25,5.6,6.9,101,158,BDL,BDL,1.72,2.2,BDL,BDL,BDL,BDL,?,?,0.47,0.47,?,?
